id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
502346131230711046_37241,"Gaseosas","Tamaño bebidas: Sprite 400 ml",https://pizzeriahorebs.com/wp-content/uploads/2023/04/sprit.jpg,https://pizzeriahorebs.com/tienda/gaseosas/?attribute_pa_tamano-bebidas=sprite-400-ml,"Bebidas","Pizzeria Horeb´s",6000COP,in stock,552621037443139644_37234,,"https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-personal.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/agua.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-1.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,4000COP,new,published,,,,,499988,,"tamano-bebidas:Agua 600 ml/Coca-cola 1.5 L/Coca-cola 400 ml/Jugo hit 400 ml/Postobon 1.5 L/Sprite 400 ml:Sprite 400 ml"
546499730121856345_37240,"Gaseosas","Tamaño bebidas: Postobon 1.5 L",https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-1.jpg,https://pizzeriahorebs.com/tienda/gaseosas/?attribute_pa_tamano-bebidas=postobon-1-5-l,"Bebidas","Pizzeria Horeb´s",10000COP,in stock,552621037443139644_37234,,"https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-personal.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/agua.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-1.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,7000COP,new,published,,,,,499988,,"tamano-bebidas:Agua 600 ml/Coca-cola 1.5 L/Coca-cola 400 ml/Jugo hit 400 ml/Postobon 1.5 L/Sprite 400 ml:Postobon 1.5 L"
217715639537771689_37239,"Gaseosas","Tamaño bebidas: Jugo hit 400 ml",https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit.jpg,https://pizzeriahorebs.com/tienda/gaseosas/?attribute_pa_tamano-bebidas=jugo-hit-400-ml,"Bebidas","Pizzeria Horeb´s",6000COP,in stock,552621037443139644_37234,,"https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-personal.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/agua.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-1.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,4000COP,new,published,,,,,499988,,"tamano-bebidas:Agua 600 ml/Coca-cola 1.5 L/Coca-cola 400 ml/Jugo hit 400 ml/Postobon 1.5 L/Sprite 400 ml:Jugo hit 400 ml"
557043311777715887_37238,"Gaseosas","Tamaño bebidas: Coca-cola 400 ml",https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-personal.jpg,https://pizzeriahorebs.com/tienda/gaseosas/?attribute_pa_tamano-bebidas=coca-cola-400-ml,"Bebidas","Pizzeria Horeb´s",6000COP,in stock,552621037443139644_37234,,"https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-personal.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/agua.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-1.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,4000COP,new,published,,,,,499988,,"tamano-bebidas:Agua 600 ml/Coca-cola 1.5 L/Coca-cola 400 ml/Jugo hit 400 ml/Postobon 1.5 L/Sprite 400 ml:Coca-cola 400 ml"
458690610458994880_37237,"Gaseosas","Tamaño bebidas: Coca-cola 1.5 L",https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola.jpg,https://pizzeriahorebs.com/tienda/gaseosas/?attribute_pa_tamano-bebidas=coca-cola-1-5-l,"Bebidas","Pizzeria Horeb´s",10000COP,in stock,552621037443139644_37234,,"https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-personal.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/agua.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/sprit.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,7000COP,new,published,,,,,499988,,"tamano-bebidas:Agua 600 ml/Coca-cola 1.5 L/Coca-cola 400 ml/Jugo hit 400 ml/Postobon 1.5 L/Sprite 400 ml:Coca-cola 1.5 L"
840891503840675563_37236,"Gaseosas","Tamaño bebidas: Agua 600 ml",https://pizzeriahorebs.com/wp-content/uploads/2023/04/agua.jpg,https://pizzeriahorebs.com/tienda/gaseosas/?attribute_pa_tamano-bebidas=agua-600-ml,"Bebidas","Pizzeria Horeb´s",6000COP,in stock,552621037443139644_37234,,"https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-personal.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/agua.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-1.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,4000COP,new,published,,,,,499988,,"tamano-bebidas:Agua 600 ml/Coca-cola 1.5 L/Coca-cola 400 ml/Jugo hit 400 ml/Postobon 1.5 L/Sprite 400 ml:Agua 600 ml"
479915919971250314_37230,"Pizza italiana","Tamaño de la pizza: Personal",https://pizzeriahorebs.com/wp-content/uploads/2023/04/jamon-pollo.jpg,https://pizzeriahorebs.com/tienda/pizza-italiana/?attribute_pa_tamano-de-la-pizza=personal,"pizza","Pizzeria Horeb´s",19000COP,in stock,499919350528279872_37226,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,15000COP,new,published,,,,,499988,,"tamano-de-la-pizza:Grande/Mediana/Personal:Personal"
187844938676435759_37229,"Pizza italiana","Tamaño de la pizza: Mediana",https://pizzeriahorebs.com/wp-content/uploads/2023/04/jamon-pollo.jpg,https://pizzeriahorebs.com/tienda/pizza-italiana/?attribute_pa_tamano-de-la-pizza=mediana,"pizza","Pizzeria Horeb´s",29000COP,in stock,499919350528279872_37226,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,27000COP,new,published,,,,,499988,,"tamano-de-la-pizza:Grande/Mediana/Personal:Mediana"
939924710268493406_37228,"Pizza italiana","Tamaño de la pizza: Grande",https://pizzeriahorebs.com/wp-content/uploads/2023/04/jamon-pollo.jpg,https://pizzeriahorebs.com/tienda/pizza-italiana/?attribute_pa_tamano-de-la-pizza=grande,"pizza","Pizzeria Horeb´s",45000COP,in stock,499919350528279872_37226,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,38000COP,new,published,,,,,499988,,"tamano-de-la-pizza:Grande/Mediana/Personal:Grande"
632609737574257331_37221,"Pizza vegetariana","Tamaño de la pizza: Personal",https://pizzeriahorebs.com/wp-content/uploads/2023/04/vegetariana.jpg,https://pizzeriahorebs.com/tienda/pizza-vegetariana/?attribute_pa_tamano-de-la-pizza=personal,"pizza","Pizzeria Horeb´s",19000COP,in stock,135296526816141428_37217,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,15000COP,new,published,,,,,499988,,"tamano-de-la-pizza:Grande/Mediana/Personal:Personal"
