id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
PI-P-1705_337,"Pizza italiana","Tamaño de la pizza: Personal",https://pizzeriahorebs.com/wp-content/uploads/2023/04/Italiana-1.jpg,https://pizzeriahorebs.com/producto/pizza-italiana/?attribute_pa_tamano-de-la-pizza=personal,"499988","Pizzeria Horebs",29000COP,in stock,PI-2702_332,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,23000COP,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Personal"
PI-M-7056_336,"Pizza italiana","Tamaño de la pizza: Mediana",https://pizzeriahorebs.com/wp-content/uploads/2023/04/Italiana-1.jpg,https://pizzeriahorebs.com/producto/pizza-italiana/?attribute_pa_tamano-de-la-pizza=mediana,"499988","Pizzeria Horebs",39900COP,in stock,PI-2702_332,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,35000COP,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Mediana"
PI-G-1263_335,"Pizza italiana","Tamaño de la pizza: Grande",https://pizzeriahorebs.com/wp-content/uploads/2023/04/Italiana-1.jpg,https://pizzeriahorebs.com/producto/pizza-italiana/?attribute_pa_tamano-de-la-pizza=grande,"499988","Pizzeria Horebs",60000COP,in stock,PI-2702_332,,,,0,new,published,,,,,,,"tamano-de-la-pizza:Grande/Mediana/Personal:Grande"
S-4341_235,"Bebidas","Gaseosas: Sprite 400 ml",https://pizzeriahorebs.com/wp-content/uploads/2023/04/sprit-1.jpg,https://pizzeriahorebs.com/producto/bebidas/?attribute_pa_gaseosas=sprite-400-ml,"499988","Pizzeria Horebs",4000COP,in stock,B-5331_228,,"https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/sprit-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-2.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-personal-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-1-1.jpg",,0,new,published,,,,,,,"gaseosas:Agua cristal/Coca-Cola 1.5 L/Coca-Cola 400 ml/Jugo hit 400 ml/Postobon 1.5 L/Sprite 400 ml:Sprite 400 ml"
P-4823_234,"Bebidas","Gaseosas: Postobon 1.5 L",https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-1-1.jpg,https://pizzeriahorebs.com/producto/bebidas/?attribute_pa_gaseosas=postobon-1-5-l,"499988","Pizzeria Horebs",8000COP,in stock,B-5331_228,,"https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/sprit-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-2.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-personal-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-1-1.jpg",,0,new,published,,,,,,,"gaseosas:Agua cristal/Coca-Cola 1.5 L/Coca-Cola 400 ml/Jugo hit 400 ml/Postobon 1.5 L/Sprite 400 ml:Postobon 1.5 L"
JH-P-9364_233,"Bebidas","Gaseosas: Jugo hit 400 ml",https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-2.jpg,https://pizzeriahorebs.com/producto/bebidas/?attribute_pa_gaseosas=jugo-hit-400-ml,"499988","Pizzeria Horebs",4000COP,in stock,B-5331_228,,"https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/sprit-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-2.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-personal-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-1-1.jpg",,0,new,published,,,,,,,"gaseosas:Agua cristal/Coca-Cola 1.5 L/Coca-Cola 400 ml/Jugo hit 400 ml/Postobon 1.5 L/Sprite 400 ml:Jugo hit 400 ml"
CC-P-1075_232,"Bebidas","Gaseosas: Coca-Cola 400 ml",https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-personal-1.jpg,https://pizzeriahorebs.com/producto/bebidas/?attribute_pa_gaseosas=coca-cola-400-ml,"499988","Pizzeria Horebs",4000COP,in stock,B-5331_228,,"https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/sprit-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-2.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-personal-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-1-1.jpg",,0,new,published,,,,,,,"gaseosas:Agua cristal/Coca-Cola 1.5 L/Coca-Cola 400 ml/Jugo hit 400 ml/Postobon 1.5 L/Sprite 400 ml:Coca-Cola 400 ml"
CC-8043_231,"Bebidas","Gaseosas: Coca-Cola 1.5 L",https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-1.jpg,https://pizzeriahorebs.com/producto/bebidas/?attribute_pa_gaseosas=coca-cola-1-5-l,"499988","Pizzeria Horebs",8000COP,in stock,B-5331_228,,"https://pizzeriahorebs.com/wp-content/uploads/2023/04/sprit-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-2.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-personal-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-1-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/agua-1.jpg",,0,new,published,,,,,,,"gaseosas:Agua cristal/Coca-Cola 1.5 L/Coca-Cola 400 ml/Jugo hit 400 ml/Postobon 1.5 L/Sprite 400 ml:Coca-Cola 1.5 L"
AC-9613_230,"Bebidas","Gaseosas: Agua cristal",https://pizzeriahorebs.com/wp-content/uploads/2023/04/agua-1.jpg,https://pizzeriahorebs.com/producto/bebidas/?attribute_pa_gaseosas=agua-cristal,"499988","Pizzeria Horebs",4000COP,in stock,B-5331_228,,"https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/sprit-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-2.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/coca-cola-personal-1.jpg,https://pizzeriahorebs.com/wp-content/uploads/2023/04/jugo-hit-1-1.jpg",,0,new,published,,,,,,,"gaseosas:Agua cristal/Coca-Cola 1.5 L/Coca-Cola 400 ml/Jugo hit 400 ml/Postobon 1.5 L/Sprite 400 ml:Agua cristal"
PTC-2440_227,"Panzerotti","Sabores: Tres carnes",https://pizzeriahorebs.com/wp-content/uploads/2023/04/panzerotti-1.jpg,https://pizzeriahorebs.com/producto/panzerotti/?attribute_pa_sabores=tres-carnes,"499988","Pizzeria Horebs",20000COP,in stock,P-6673_216,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,16000COP,new,published,,,,,,,"sabores:Hawaiano/Horebs especial/Italiano/Jamón pollo/Jamon y queso/Margarita/Pepperoni/Pollo champiñon/Pollo jamon/Tres carnes:Tres carnes"
